country,Period,Age (x),Age interval (n),nmx,nqx,npx,lx,ndx,nLx,nSx,Tx,e0x,nax
Malawi,2095-2100,65,5,0.00824467,0.04046076,0.95953924,91873.327,3717.264,450868.843,0.9460402,1975407.083,21.5014,2.714
Malawi,2095-2100,70,5,0.01458982,0.07059235,0.92940765,88156.063,6223.144,426540.049,0.90556827,1524538.24,17.2936,2.7117
Malawi,2095-2100,75,5,0.02635732,0.12425783,0.87574217,81932.919,10180.807,386261.133,0.83173783,1097998.19,13.4012,2.7012
Malawi,2095-2100,80,5,0.04988605,0.22336334,0.77663666,71752.112,16026.791,321267.996,0.70584962,711737.057,9.9194,2.6606
Malawi,2095-2100,85,5,0.09384454,0.38188806,0.61811194,55725.321,21280.835,226766.892,0.52246347,390469.061,7.007,2.5631
Malawi,2095-2100,90,5,0.1725982,0.59367961,0.40632039,34444.486,20448.989,118477.417,0.32334738,163702.169,4.7526,2.3718
Malawi,2095-2100,95,5,0.28486957,0.77976305,0.22023695,13995.497,10913.171,38309.362,0.152911618,45224.752,3.2314,2.0982
Malawi,2095-2100,100,-1,0.445712248,...,...,3082.326,3082.326,6915.39,...,6915.39,2.2436,2.2436
Mauritius,2095-2100,0,1,0.00302406,0.00301551,0.99698449,100000,301.551,99716.985,0.9967184,8751624.164,87.5162,0.0615
Mauritius,2095-2100,1,4,0.00015317,0.00061243,0.99938757,99698.449,61.058,398642.214,0.99952015,8651907.179,86.7808,1.5174
Mauritius,2095-2100,5,5,0.00005372,0.00026855,0.99973145,99637.391,26.758,498120.06,0.99972455,8253264.964,82.833,2.5
Mauritius,2095-2100,10,5,0.00005648,0.00028234,0.99971766,99610.633,28.124,497982.854,0.9996346,7755144.904,77.8546,2.5
Mauritius,2095-2100,15,5,0.00009835,0.00049162,0.99950838,99582.509,48.956,497800.889,0.99935411,7257162.05,72.8759,2.7193
Mauritius,2095-2100,20,5,0.00016198,0.0008096,0.9991904,99533.552,80.583,497479.365,0.99905715,6759361.161,67.9104,2.6621
Mauritius,2095-2100,25,5,0.00021444,0.00107167,0.99892833,99452.97,106.58,497010.316,0.99878438,6261881.796,62.9632,2.6118
Mauritius,2095-2100,30,5,0.00027766,0.00138737,0.99861263,99346.389,137.831,496406.14,0.99830702,5764871.48,58.028,2.6362
Mauritius,2095-2100,35,5,0.00041343,0.00206516,0.99793484,99208.559,204.881,495565.736,0.99742634,5268465.34,53.1049,2.6715
Mauritius,2095-2100,40,5,0.00063519,0.00317129,0.99682871,99003.677,313.969,494290.318,0.99599072,4772899.605,48.2093,2.6811
Mauritius,2095-2100,45,5,0.00099231,0.00495008,0.99504992,98689.708,488.522,492308.567,0.9940336,4278609.286,43.3542,2.6665
Mauritius,2095-2100,50,5,0.00142649,0.00710872,0.99289128,98201.186,698.085,489371.258,0.99124603,3786300.719,38.5566,2.6583
